ID	nameID	status	citation	referenceID	link
NDG65570	1001	holotype	U.S.A.; California, (Modoc Co.); June 1894; Rebecca M. Austin; lava beds, under juniper trees; NDG 65570		https://plants.jstor.org/stable/10.5555/al.ap.specimen.ndg65570
GH00006265	1001c	holotype	United States; Valley of the Clearwater River; 30th May 1892; J.H.Sandberg, D. T. MacDougal & A. A. Heller; GH 00006265		https://plants.jstor.org/stable/10.5555/al.ap.specimen.gh00006265
MIN1000737	1001c	isotype	United States; Idaho, Nes Perces; May 1892; J.H.Sandberg; Dry hillsides; MIN 1000737		https://plants.jstor.org/stable/10.5555/al.ap.specimen.min1000737
