ID	alternativeID	given	family	suffix	abbreviationBotany	alternativeNames	sex	country	birth	birthPlace	death	interest	link 	remarks
12653	ipni:12653-1,wikidata:Q1043	Carl	Linnaeus		L.	Linn.|Carl von Linné	male	Sweden	1707	Råshult	1778	botany,zoology	 	
492	ipni:492-1	John Hendley	Barnhart		Barnhart			US	1871		1949	Spermatophytes	 	
18271	ipni:18271-1	Barthélemy Charles Joseph	Dumortier		Dumort.	Du Mortier		Belgium	1797		1878	Bryophytes, Spermatophytes, Mycology, Algae	 	
9229	ipni:9229-1	Hildemar Wolfgang	Scholz		H.Scholz			Germany	1928		2012	Mycology, Spermatophytes	 	   Eponymy: Lolium scholzii Greuter (2012)
307	ipni:307-1,wikidata:Q61290,viaf:59388161	Paul Friedrich August	Ascherson		Asch.			Germany	1834-06-04	Berlin	1913-03-06	Spermatophytes	 	
3308	ipni:3308-1	Karl Otto Robert Peter Paul	Graebner		Graebn.			Germany	1871		1933	Spermatophytes, Pteridophytes	 	
27136	ipni:27136-1,wikidata:Q78630	Otto	Stapf		Stapf			Austria	1857		1933	Spermatophytes, Bryophytes	 	
974	ipni:974-1,wikidata:Q4026914	Norman Loftus	Bor		Bor			Ireland	1893	Tramore,Ireland	1972	Spermatophytes	 	
1792	ipni:1792-1	Thomas Arthur	Cope		Cope			UK	1949			Spermatophytes	 	

